count,cargo
27,""
19,99mTc
4,actinomycin D
6,AgNPs
28,Alexa488
1,Alexa600
1,Alexa 647-sCT
6,AuNPs
5,BH3 peptide drug and ELPBC
8,BID
46,Biotin
10,Biotin-gly4
2,BoNTA
6,BSA
3,BSH
36,Carboxyfluorescein
6,CFPE-labeled liposomes
1,chitosan/siRNA
3,CmLN
9,Cou-6
1,Cy5
7,Cyt C protein
2,daunorubicin (Dau)
7,Dextran
5,DiI
11,Doxorubicin
6,dsRED
8,eGFP
3,Erlo
1,ESRRB recombinant protein
148,FITC
23,(FITC)-labeled latex microspheres
2,FITC labelled peptide
217,Fluorescein
1,fluorescent tag
1,FP
2,GAPDH siRNA
22,HPMA
8,Insulin
1,Insulin-PEG-LMWP
6,IONPs
1,IR800
5,Liposome
1,Liposomes-salmon calcitonin (sCT)
2,LP
8,Lyophiliosomes and FITC labelled
2,mCherry
1,MRI probe [DOTA-caged metal ion (TmÃ¼?)]
1,MRI probe [DOTA-caged metal ion (Tmﾃｼ?)]
7,NBD
1,PEG-PLA
2,phosphorodiamidate morpholino oligomers (PMO)
5,Plasmid DNA
2,PLGA-NPs
2,PLP
2,poly(N-isopropylacrylamide) (PNIPAM) microgel particles
6,QDs
27,Rho
1,Rhodamine labeled ELP
1,Rh-PE
5,siRNA
10,Streptavidin conjugated with FITC
1,SX/FP
7,TAM
31,TAMRA
2,TAZ
4,Texas Red
