count,extra_name
2304,""
3,-
1,2b
1,2BP100
1,2x ppTG1
1,3b
1,4b
1,6-Oct
1,AIP6
1,aPP4R1
1,aPP5R1
1,aPP6R1
1,ARF(1-22)
1,BP100
1,Buforin 2
1,Buforin II (5-21)
1,ck9
1,cr9
1,Crot(27-39)
1,Crot (27-39) derevative 10
1,Crot (27-39) derevative 11
1,Crot (27-39) derevative 12
1,Crot (27-39) derevative 13
1,Crot (27-39) derevative 14
1,Crot (27-39) derevative 15
1,Crot (27-39) derevative 16
1,Crot (27-39) derevative 17
1,Crot (27-39) derevative 18
1,Crot (27-39) derevative 19
1,Crot (27-39) derevative 29
1,Crot (27-39) derevative 31
1,Crot (27-39) derevative 32
1,Crot (27-39) derevative 33
1,Crot (27-39) derevative 34
1,Crot (27-39) derevative 35
1,Crot (27-39) derevative 36
1,Crot (27-39) derevative 40
1,Crot (27-39) derevative 41
1,Crot (27-39) derevative 42
1,Crot (27-39) derevative 43
1,Crot (27-39) derevative 44
1,Crot (27-39) derevative 54
1,Crot (27-39) derevative 55
1,Crot (27-39) derevative 56
1,Crot (27-39) derevative 57
1,Crot (27-39) derevative 58
1,Crot(27-39) derivative (1)
1,Crot(27-39) derivative (2)
1,cTat
1,cTAT-GFP
1,CyLoP-1
1,Cyt C 77-101
1,D form of pAntpHD (43-58)
1,D form of pVEC
1,dhvar5
1,DPV3
1,D-R5
1,D-R6
1,D-R7
1,D-R8
2,D-R9
1,D-SFTI-1
1,D-SynB1
1,D-SynB3
1,D-Tat (49-57)
1,D-Tat (57-49)
1,E162
1,E165
1,Engrailed-2
1,ent FAM-1
1,FAM-1
1,FAM-2
1,FAM-3
1,G53-4
1,Glu-Oct-6
1,Guanidylated variants
1,hCT (9–32)
1,HIV-1 VPR 77–92
1,hLF Hcy
1,hLF peptide
1,HoxA-13
1,HPV33L2-445/467
1,HPV33L2-DD447
1,HSV-1 VP22 peptide
1,HTLV-II Rex
1,Human cFos
1,Human cJun
1,Inv3
1,Inv3.10
1,Inv3.5
1,Inv5
1,IX
1,K18
1,K9
1,K-FGF + NLS
1,(KH)9
1,KLA10
1,LAH4
1,M511
1,M591
1,M867
1,M918
1,Magainin 2
1,MAP
1,MAP11
1,MAP13
1,MAP3
1,MAP4
1,MAP (Aib)
1,MCa UF1-9-C-Cy5
1,Melittin
2,MPG
1,NLys(1/3) variants 1
1,NLys(1/3) variants 2
1,NLys(1/3) variants 3
1,NLys(1/3) variants 4
1,NLys(2/3) variants 1
1,NLys(2/3) variants 2
1,NLys(2/3) variants 3
1,No. 14-12
1,pAntp2Phe
1,pAntp(4–13)
1,pAntp41–55
1,pAntp43–54
1,pAntp43–57
1,pAntp(44-58)
1,pAntpHD 48S
1,Peptide 599
1,Peptide I
1,Pip6a
1,Polyguanidine comparators 2
1,ppTG1
1,Protamine 1
1,ptat2
1,ptat7
1,pVEC(4–18)
1,pVEC mutant 13
1,pVEC mutant 15
1,r12
1,R12
1,R6
1,R6W3
1,R7
1,R8
1,R9
1,R9-TAT
1,(r-ahx-r)4_carbamate_CF (II)
1,Retro-Tat(57-49)
1,Rev(34-50)
1,Sc18
1,scr pVEC
1,SFTI-M6
1,SVM1
1,SVM2
1,SVM3
1,SVM4
1,SVM5
1,TAM-iMitP
1,TAM-iMP
1,TAM-MitP
1,TAM-riMitP
1,TAM-riMP
1,TAM-rMitP
1,Tat
1,TH
1,TP13
1,TP15
1,TP16
1,TP4
1,TP8
1,Transportan (TP)
1,VP-22
1,VP22
1,XI
1,Yeast GCN4
