iter	Passed	Remaining
0	79	79433
1	85	42890
2	92	30801
3	98	24482
4	111	22243
5	118	19700
6	130	18507
7	137	17006
8	141	15600
9	155	15434
10	172	15529
11	181	14965
12	198	15065
13	206	14515
14	215	14180
15	220	13548
16	225	13020
17	240	13135
18	254	13123
19	259	12705
20	269	12547
21	275	12246
22	281	11943
23	307	12504
24	323	12621
25	353	13234
26	376	13570
27	397	13807
28	402	13473
29	415	13438
30	431	13486
31	444	13451
32	461	13526
33	468	13317
34	489	13486
35	508	13626
36	519	13521
37	533	13493
38	557	13738
39	572	13747
40	582	13625
41	590	13477
42	599	13336
43	606	13172
44	612	12995
45	617	12811
46	624	12672
47	634	12593
48	640	12430
49	646	12281
50	653	12165
51	659	12015
52	668	11942
53	674	11815
54	679	11678
55	684	11541
56	689	11412
57	695	11292
58	701	11195
59	710	11131
60	717	11040
61	724	10954
62	729	10854
63	741	10844
64	751	10811
65	766	10840
66	773	10774
67	781	10712
68	787	10621
69	796	10580
70	803	10509
71	810	10441
72	816	10368
73	827	10352
74	833	10275
75	838	10195
76	844	10119
77	848	10034
78	854	9964
79	861	9906
80	868	9851
81	876	9807
82	882	9747
83	888	9684
84	898	9674
85	909	9666
86	917	9624
87	924	9579
88	938	9610
89	951	9622
90	957	9560
91	967	9548
92	976	9527
93	983	9482
94	990	9431
95	998	9403
96	1004	9350
97	1014	9333
98	1021	9292
99	1027	9246
100	1033	9202
101	1038	9145
102	1044	9094
103	1053	9075
104	1058	9019
105	1063	8966
106	1069	8923
107	1074	8874
108	1080	8832
109	1088	8803
110	1095	8774
111	1101	8734
112	1107	8693
113	1113	8654
114	1120	8623
115	1131	8622
116	1137	8582
117	1145	8562
118	1159	8584
119	1167	8561
120	1173	8527
121	1180	8496
122	1189	8477
123	1193	8428
124	1196	8378
125	1203	8344
126	1209	8312
127	1214	8275
128	1220	8239
129	1227	8214
130	1233	8180
131	1238	8144
132	1243	8107
133	1248	8069
134	1255	8042
135	1260	8004
136	1264	7965
137	1270	7937
138	1277	7914
139	1283	7884
140	1289	7855
141	1296	7835
142	1302	7808
143	1308	7776
144	1313	7747
145	1318	7714
146	1325	7691
147	1331	7665
148	1335	7630
149	1340	7596
150	1345	7562
151	1350	7532
152	1356	7512
153	1362	7485
154	1368	7459
155	1373	7429
156	1377	7395
157	1388	7399
158	1393	7372
159	1398	7340
160	1402	7310
161	1407	7281
162	1412	7251
163	1416	7222
164	1422	7200
165	1427	7172
166	1432	7143
167	1436	7114
168	1441	7089
169	1445	7059
170	1450	7031
171	1456	7013
172	1461	6987
173	1466	6963
174	1471	6936
175	1476	6911
176	1480	6885
177	1488	6872
178	1492	6846
179	1497	6823
180	1503	6801
181	1508	6780
182	1513	6755
183	1518	6733
184	1524	6717
185	1529	6692
186	1534	6670
187	1539	6647
188	1544	6627
189	1549	6605
190	1554	6585
191	1561	6570
192	1567	6553
193	1573	6535
194	1578	6515
195	1584	6498
196	1588	6475
197	1593	6452
198	1599	6438
199	1605	6420
200	1611	6407
201	1617	6389
202	1622	6371
203	1630	6362
204	1635	6341
205	1642	6331
206	1648	6315
207	1653	6295
208	1658	6278
209	1665	6264
210	1671	6248
211	1676	6230
212	1681	6212
213	1686	6196
214	1692	6178
215	1699	6167
216	1705	6152
217	1712	6141
218	1717	6123
219	1722	6106
220	1727	6088
221	1733	6076
222	1740	6065
223	1747	6052
