model_id,rmse,mse,mae,rmsle,mean_residual_deviance
XGBoost_grid_1_AutoML_10_20250330_191247_model_14,6188.700294416798,38300011.33411456,2914.065965770504,,38300011.33411456
StackedEnsemble_BestOfFamily_7_AutoML_10_20250330_191247,6225.707099428166,38759428.88787027,3430.0538637168006,3.3742930157184188,38759428.88787027
GBM_grid_1_AutoML_10_20250330_191247_model_5,6232.84263793442,38848327.3492533,3225.550827313125,,38848327.3492533
GBM_grid_1_AutoML_10_20250330_191247_model_3,6233.306740453367,38854112.92058138,3275.316166690679,,38854112.92058138
GBM_grid_1_AutoML_10_20250330_191247_model_2,6244.987198114091,38999865.10460889,3292.982724789556,,38999865.10460889
StackedEnsemble_AllModels_2_AutoML_10_20250330_191247,6251.165440355514,39077069.36269514,3418.705534477961,,39077069.36269514
XGBoost_grid_1_AutoML_10_20250330_191247_model_20,6259.647345962027,39183184.89580945,3004.554214227732,,39183184.89580945
GLM_1_AutoML_10_20250330_191247,6262.656789090898,39220870.05794632,3441.557120478779,3.378593856139932,39220870.05794632
XGBoost_grid_1_AutoML_10_20250330_191247_model_4,6269.181416467979,39302635.632587455,3097.65370407328,,39302635.632587455
StackedEnsemble_AllModels_5_AutoML_10_20250330_191247,6276.030796209485,39388562.554969855,3540.656885447811,,39388562.554969855
GBM_4_AutoML_10_20250330_191247,6280.097094013973,39439619.51024275,3356.6886492105555,,39439619.51024275
StackedEnsemble_BestOfFamily_3_AutoML_10_20250330_191247,6287.3241323876855,39530444.74570456,3396.072189099872,,39530444.74570456
StackedEnsemble_AllModels_6_AutoML_10_20250330_191247,6288.204503763091,39541515.88114643,3540.6469049005486,3.415833965138296,39541515.88114643
StackedEnsemble_BestOfFamily_4_AutoML_10_20250330_191247,6292.450551310308,39594933.9406854,3331.154130108058,3.231188230530396,39594933.9406854
XGBoost_grid_1_AutoML_10_20250330_191247_model_9,6296.532236668233,39646318.20740227,3518.0575525203985,,39646318.20740227
StackedEnsemble_BestOfFamily_2_AutoML_10_20250330_191247,6296.564808009744,39646728.381466776,3480.440664565983,3.34772015547524,39646728.381466776
StackedEnsemble_AllModels_1_AutoML_10_20250330_191247,6318.390701239785,39922061.05351338,3475.638958302613,3.342531081880001,39922061.05351338
GBM_grid_1_AutoML_10_20250330_191247_model_9,6322.779107705345,39977535.6448352,3391.665429191722,,39977535.6448352
GBM_2_AutoML_10_20250330_191247,6329.981998726004,40068672.10419526,3302.0050027451143,,40068672.10419526
XGBoost_3_AutoML_10_20250330_191247,6336.7044636890205,40153823.460136354,3201.8001660812115,,40153823.460136354
GBM_3_AutoML_10_20250330_191247,6339.371108627764,40187626.05290441,3325.1577929333894,,40187626.05290441
GBM_grid_1_AutoML_10_20250330_191247_model_11,6346.239668706915,40274757.93266925,3400.8647446267896,,40274757.93266925
StackedEnsemble_BestOfFamily_1_AutoML_10_20250330_191247,6357.884287657215,40422692.615238495,3570.923053637419,3.4113283862840844,40422692.615238495
StackedEnsemble_BestOfFamily_5_AutoML_10_20250330_191247,6358.596242731756,40431746.17808241,3392.9615351775246,3.2603359089025257,40431746.17808241
GBM_grid_1_AutoML_10_20250330_191247_model_31,6358.944653220391,40436177.10272019,3421.7386237989026,,40436177.10272019
GBM_grid_1_AutoML_10_20250330_191247_model_15,6367.498185515853,40545033.14254768,3372.7147907249414,,40545033.14254768
GBM_grid_1_AutoML_10_20250330_191247_model_10,6368.5621869380575,40558584.32889725,3490.1276696893256,3.321783586756548,40558584.32889725
GBM_grid_1_AutoML_10_20250330_191247_model_12,6384.87887239934,40766678.21521147,3502.109484161453,3.351514186325864,40766678.21521147
XGBoost_grid_1_AutoML_10_20250330_191247_model_6,6384.906186775332,40767027.0139219,3403.2572877633784,3.254584750496793,40767027.0139219
GBM_grid_1_AutoML_10_20250330_191247_model_13,6389.41341801746,40824603.82634156,3380.7888807258178,,40824603.82634156
XGBoost_grid_1_AutoML_10_20250330_191247_model_27,6396.502086176472,40915238.93845995,3400.0030896673247,,40915238.93845995
XGBoost_grid_1_AutoML_10_20250330_191247_model_22,6401.901764067496,40984346.19677051,3173.916172578186,,40984346.19677051
GBM_grid_1_AutoML_10_20250330_191247_model_4,6403.545872880264,41005399.74608186,3411.9202242008173,,41005399.74608186
GBM_grid_1_AutoML_10_20250330_191247_model_8,6406.164832811474,41038947.86515046,3194.3360120944644,,41038947.86515046
XGBoost_grid_1_AutoML_10_20250330_191247_model_10,6407.462088597117,41055570.416809335,3385.29237666311,,41055570.416809335
XGBoost_grid_1_AutoML_10_20250330_191247_model_3,6408.928966197429,41074370.493764445,3211.270625602454,,41074370.493764445
