model_id,rmse,mse,mae,rmsle,mean_residual_deviance
StackedEnsemble_BestOfFamily_4_AutoML_5_20250401_11303,5844.146658257488,34154050.163222164,3100.621615638663,,34154050.163222164
StackedEnsemble_BestOfFamily_6_AutoML_5_20250401_11303,5860.823580793332,34349253.04518317,3182.608738726494,,34349253.04518317
StackedEnsemble_AllModels_4_AutoML_5_20250401_11303,5921.395320938036,35062922.54682687,3127.699920593825,,35062922.54682687
StackedEnsemble_AllModels_3_AutoML_5_20250401_11303,5945.645345539298,35350698.57493313,3121.6735706384206,,35350698.57493313
DeepLearning_grid_1_AutoML_5_20250401_11303_model_1,5976.812536054994,35722288.09114412,3582.551565064657,,35722288.09114412
GBM_grid_1_AutoML_5_20250401_11303_model_3,6011.346253254014,36136283.77651107,2858.369212773506,,36136283.77651107
XGBoost_grid_1_AutoML_5_20250401_11303_model_12,6058.25561649756,36702461.11482423,3337.1412916158997,,36702461.11482423
StackedEnsemble_BestOfFamily_3_AutoML_5_20250401_11303,6060.536394662679,36730101.39103091,3133.662098996979,,36730101.39103091
GBM_grid_1_AutoML_5_20250401_11303_model_5,6080.859973304827,36976858.01494078,2916.542980474888,,36976858.01494078
GBM_3_AutoML_5_20250401_11303,6082.225191919608,36993463.28522151,3159.0233801074405,,36993463.28522151
GBM_grid_1_AutoML_5_20250401_11303_model_39,6096.568144416228,37168143.139510736,3171.541092472815,,37168143.139510736
StackedEnsemble_AllModels_6_AutoML_5_20250401_11303,6100.885727703438,37220806.6624955,3278.085309660103,,37220806.6624955
GBM_grid_1_AutoML_5_20250401_11303_model_9,6138.62649179948,37682735.20582239,3242.5486576210565,,37682735.20582239
StackedEnsemble_BestOfFamily_2_AutoML_5_20250401_11303,6140.433297893918,37704921.08588438,3196.7333843010806,3.225332038376355,37704921.08588438
GBM_4_AutoML_5_20250401_11303,6149.293669898989,37813812.638659775,3203.6357497325307,,37813812.638659775
GBM_grid_1_AutoML_5_20250401_11303_model_18,6157.040673773278,37909149.858498506,3283.605674064861,,37909149.858498506
StackedEnsemble_Best1000_1_AutoML_5_20250401_11303,6163.65801802102,37990680.16311481,3224.388836625026,,37990680.16311481
StackedEnsemble_AllModels_2_AutoML_5_20250401_11303,6164.13354264875,37996542.33160744,3228.658376132446,3.2461655814187647,37996542.33160744
XGBoost_grid_1_AutoML_5_20250401_11303_model_17,6173.587041233256,38113176.9556832,3264.112376932693,,38113176.9556832
GBM_grid_1_AutoML_5_20250401_11303_model_11,6183.589894815267,38236783.98726148,3284.862114136983,,38236783.98726148
GBM_grid_1_AutoML_5_20250401_11303_model_13,6185.280168744823,38257690.76586798,3262.44308277711,,38257690.76586798
DeepLearning_grid_1_AutoML_5_20250401_11303_model_2,6190.466335431766,38321873.450114,3451.6170053330948,,38321873.450114
GBM_grid_1_AutoML_5_20250401_11303_model_35,6196.621774844882,38398121.42048173,3325.1743525296647,,38398121.42048173
GBM_grid_1_AutoML_5_20250401_11303_model_33,6198.0944043028185,38416374.24464991,3403.034293284501,3.301612834889617,38416374.24464991
GBM_grid_1_AutoML_5_20250401_11303_model_15,6200.080302700988,38440995.75994077,3223.287002761439,,38440995.75994077
GBM_grid_1_AutoML_5_20250401_11303_model_40,6207.817428461911,38536997.225115456,3085.5892530226797,,38536997.225115456
XGBoost_grid_1_AutoML_5_20250401_11303_model_4,6215.180491835261,38628468.5460896,3107.2967767499385,,38628468.5460896
GBM_2_AutoML_5_20250401_11303,6218.267060020906,38666845.22974104,3208.9907014934847,,38666845.22974104
XGBoost_3_AutoML_5_20250401_11303,6221.018050870274,38701065.58925379,2918.9843510875744,,38701065.58925379
XGBoost_grid_1_AutoML_5_20250401_11303_model_10,6222.347338513684,38717606.401108325,3023.102253635547,,38717606.401108325
StackedEnsemble_BestOfFamily_1_AutoML_5_20250401_11303,6234.296581509477,38866453.86622075,3472.9690512909115,3.3449824669666093,38866453.86622075
XGBoost_grid_1_AutoML_5_20250401_11303_model_15,6234.704631287926,38871541.83940311,3530.200678056585,,38871541.83940311
GBM_grid_1_AutoML_5_20250401_11303_model_34,6238.001726437556,38912665.53903792,3334.8329965196567,,38912665.53903792
GBM_grid_1_AutoML_5_20250401_11303_model_4,6249.09440749241,39051180.91375291,3353.51240181815,,39051180.91375291
GBM_grid_1_AutoML_5_20250401_11303_model_2,6250.894445755362,39073681.37197523,3317.2072442350072,,39073681.37197523
GLM_1_AutoML_5_20250401_11303,6262.64808534764,39220761.040908456,3441.5407050866816,3.378591156202086,39220761.040908456
XGBoost_grid_1_AutoML_5_20250401_11303_model_9,6269.102442032019,39301645.42869183,3432.08925102534,,39301645.42869183
