model_id,rmse,mse,mae,rmsle,mean_residual_deviance
GBM_grid_1_AutoML_7_20250330_180007_model_17,5735.123363267548,32891639.991897263,2793.6240584814827,,32891639.991897263
GBM_grid_1_AutoML_7_20250330_180007_model_35,5760.411317718656,33182338.54930118,3091.496073604653,,33182338.54930118
StackedEnsemble_BestOfFamily_6_AutoML_7_20250330_180007,5782.913528933108,33442088.88311757,3081.13454021488,,33442088.88311757
GBM_grid_1_AutoML_7_20250330_180007_model_18,5783.222901731401,33445667.131110568,2956.708058048635,,33445667.131110568
GBM_grid_1_AutoML_7_20250330_180007_model_15,5808.464142806654,33738255.69827064,3084.5175847053983,,33738255.69827064
GBM_grid_1_AutoML_7_20250330_180007_model_5,5817.918847477322,33848179.715831846,2761.9174708584915,,33848179.715831846
GBM_grid_1_AutoML_7_20250330_180007_model_4,5819.283637192745,33864062.050099224,3041.080294470029,,33864062.050099224
GBM_grid_1_AutoML_7_20250330_180007_model_2,5823.079226590193,33908251.67914624,2999.43910727404,,33908251.67914624
StackedEnsemble_BestOfFamily_4_AutoML_7_20250330_180007,5841.98660645346,34128807.50998161,3038.2907349644597,,34128807.50998161
GBM_4_AutoML_7_20250330_180007,5856.204380986228,34295129.75188229,2956.388083715897,,34295129.75188229
GBM_grid_1_AutoML_7_20250330_180007_model_13,5861.232731302902,34354049.13049647,3010.4569493874824,,34354049.13049647
XGBoost_grid_1_AutoML_7_20250330_180007_model_11,5861.422651203412,34356275.49604043,2839.51461332153,,34356275.49604043
GBM_grid_1_AutoML_7_20250330_180007_model_9,5867.562078563845,34428284.745800465,3029.539532156868,,34428284.745800465
StackedEnsemble_AllModels_4_AutoML_7_20250330_180007,5868.104692871831,34434652.6865044,3033.5713733534144,,34434652.6865044
GBM_grid_1_AutoML_7_20250330_180007_model_34,5877.909344175406,34549818.25834455,2991.1814089473005,,34549818.25834455
XGBoost_grid_1_AutoML_7_20250330_180007_model_12,5881.877337959108,34596481.01879692,3268.039312739138,,34596481.01879692
GBM_grid_1_AutoML_7_20250330_180007_model_11,5885.1097088011375,34634516.2846254,3028.553686502988,,34634516.2846254
GBM_3_AutoML_7_20250330_180007,5891.719553001468,34712359.291219816,2981.8106738183537,,34712359.291219816
GBM_grid_1_AutoML_7_20250330_180007_model_8,5918.226545600947,35025405.44505572,2761.393595060729,,35025405.44505572
GBM_grid_1_AutoML_7_20250330_180007_model_33,5920.932982892885,35057447.38790884,3178.39362002717,,35057447.38790884
GBM_2_AutoML_7_20250330_180007,5921.645710894362,35065887.9253536,3032.5995593237044,,35065887.9253536
GBM_grid_1_AutoML_7_20250330_180007_model_37,5923.536544095016,35088285.18922913,3170.4181043955964,,35088285.18922913
GBM_grid_1_AutoML_7_20250330_180007_model_10,5924.261437393962,35096873.57859317,3222.9169238324284,,35096873.57859317
GBM_grid_1_AutoML_7_20250330_180007_model_38,5940.0133410573135,35283758.49193887,2763.0208784828,,35283758.49193887
XGBoost_1_AutoML_7_20250330_180007,5967.334536782301,35609081.473874845,3251.817147285278,,35609081.473874845
XGBoost_grid_1_AutoML_7_20250330_180007_model_13,5972.462075907611,35670303.24815465,2783.729918014258,,35670303.24815465
XGBoost_2_AutoML_7_20250330_180007,5974.932673881977,35699820.457422435,3170.087924738973,,35699820.457422435
DeepLearning_grid_1_AutoML_7_20250330_180007_model_2,5988.384083087071,35860743.92657059,3433.391013674806,,35860743.92657059
XGBoost_grid_1_AutoML_7_20250330_180007_model_6,5989.154239439636,35869968.503797755,3134.4525577839995,,35869968.503797755
XGBoost_grid_1_AutoML_7_20250330_180007_model_4,5993.3399771121685,35920124.08125088,2786.8460980573936,,35920124.08125088
XGBoost_grid_1_AutoML_7_20250330_180007_model_3,6006.484447306756,36077855.41573795,2877.5550820783847,,36077855.41573795
DRF_1_AutoML_7_20250330_180007,6013.386475267777,36160816.90093342,2816.8628145729845,2.8267959491871806,36160816.90093342
StackedEnsemble_BestOfFamily_1_AutoML_7_20250330_180007,6022.000980740139,36264495.8120352,3199.722433700877,,36264495.8120352
XGBoost_grid_1_AutoML_7_20250330_180007_model_15,6032.502567304839,36391087.22453947,3380.0852455876766,,36391087.22453947
XGBoost_grid_1_AutoML_7_20250330_180007_model_10,6042.749915242755,36514826.53816632,2832.914789158638,,36514826.53816632
StackedEnsemble_AllModels_3_AutoML_7_20250330_180007,6043.057477041418,36518543.67082618,3140.734678506971,,36518543.67082618
XGBoost_grid_1_AutoML_7_20250330_180007_model_16,6052.731688917706,36635560.89802859,3052.3756203865364,,36635560.89802859
XGBoost_grid_1_AutoML_7_20250330_180007_model_7,6055.555250603179,36669749.39310773,2960.682335161844,,36669749.39310773
GBM_5_AutoML_7_20250330_180007,6056.803156894233,36684864.48136395,2865.7468025460007,2.943190082021324,36684864.48136395
GBM_grid_1_AutoML_7_20250330_180007_model_12,6068.2902202437845,36824146.19710636,3238.891238593677,,36824146.19710636
XGBoost_grid_1_AutoML_7_20250330_180007_model_2,6071.6572275273065,36865021.48858458,2853.3172480230883,,36865021.48858458
StackedEnsemble_BestOfFamily_2_AutoML_7_20250330_180007,6075.614990469122,36913097.51241311,3120.5307102510205,,36913097.51241311
DeepLearning_1_AutoML_7_20250330_180007,6077.936231661491,36941308.83614348,3480.415214837281,,36941308.83614348
DeepLearning_grid_1_AutoML_7_20250330_180007_model_1,6101.286014474464,37225691.03042168,3182.4551411468738,,37225691.03042168
XGBoost_grid_1_AutoML_7_20250330_180007_model_33,6102.774078758551,37243851.45636728,3364.546301833966,,37243851.45636728
GBM_grid_1_AutoML_7_20250330_180007_model_36,6107.345672591365,37299671.16452047,3274.1282098913666,3.294703682110484,37299671.16452047
StackedEnsemble_AllModels_2_AutoML_7_20250330_180007,6108.88442897847,37318468.96661561,3265.366898430114,,37318468.96661561
GBM_grid_1_AutoML_7_20250330_180007_model_39,6121.999165609289,37478873.78372083,3290.9590838743416,3.299911282811164,37478873.78372083
StackedEnsemble_Best1000_1_AutoML_7_20250330_180007,6131.055253544152,37589838.52201135,3138.580279280302,,37589838.52201135
DeepLearning_grid_3_AutoML_7_20250330_180007_model_2,6191.190412559963,38330838.7245744,3489.8246440210105,,38330838.7245744
StackedEnsemble_BestOfFamily_3_AutoML_7_20250330_180007,6195.192767424217,38380413.42554533,3295.7931791457945,,38380413.42554533
StackedEnsemble_AllModels_6_AutoML_7_20250330_180007,6229.739259531415,38809651.24174702,3169.852821716078,,38809651.24174702
XGBoost_grid_1_AutoML_7_20250330_180007_model_9,6233.999717410939,38862752.47667968,3393.8345490976103,,38862752.47667968
GLM_1_AutoML_7_20250330_180007,6262.481366219167,39218672.86224229,3441.4518586381378,3.378589850246047,39218672.86224229
GBM_grid_1_AutoML_7_20250330_180007_model_3,6269.308875383721,39304233.7749651,2885.2284390664167,,39304233.7749651
DeepLearning_grid_1_AutoML_7_20250330_180007_model_3,6273.144984653192,39352347.9984795,3500.752335816736,,39352347.9984795
StackedEnsemble_BestOfFamily_5_AutoML_7_20250330_180007,6292.114963572499,39590710.71481295,3412.039970827275,,39590710.71481295
XGBoost_grid_1_AutoML_7_20250330_180007_model_8,6319.6019198923705,39937368.425907336,3336.1712555473405,,39937368.425907336
XGBoost_3_AutoML_7_20250330_180007,6331.11199823767,40082979.13422899,3018.4921648669456,,40082979.13422899
DeepLearning_grid_2_AutoML_7_20250330_180007_model_1,6332.454439248602,40099979.225159325,3077.324835240028,,40099979.225159325
XGBoost_grid_1_AutoML_7_20250330_180007_model_14,6332.74749137731,40103690.78954562,2720.031465732732,,40103690.78954562
DeepLearning_grid_3_AutoML_7_20250330_180007_model_1,6351.373926994762,40339950.76050886,2999.348602418066,,40339950.76050886
StackedEnsemble_AllModels_1_AutoML_7_20250330_180007,6359.453967888775,40442654.76969629,3209.8249718686607,,40442654.76969629
