model_id,rmse,mse,mae,rmsle,mean_residual_deviance
DeepLearning_grid_1_AutoML_6_20250401_12303_model_2,5879.165525021586,34564587.270602345,3159.5126216299177,3.2327688726814445,34564587.270602345
DeepLearning_grid_1_AutoML_6_20250401_12303_model_4,5890.483707135271,34697798.30402609,3257.271926412121,3.3170532234892627,34697798.30402609
DeepLearning_grid_1_AutoML_6_20250401_12303_model_3,5966.347470427913,35597302.137881555,3247.7170913049795,,35597302.137881555
GBM_grid_1_AutoML_6_20250401_12303_model_54,5993.053662026424,35916692.19592833,3259.7786827778136,3.3045376181585646,35916692.19592833
GBM_grid_1_AutoML_6_20250401_12303_model_47,6030.036586153593,36361341.23035088,3250.264881841592,3.277740492326496,36361341.23035088
DeepLearning_grid_1_AutoML_6_20250401_12303_model_1,6043.634681779313,36525520.16680574,3572.9310228061504,3.403067025523232,36525520.16680574
StackedEnsemble_BestOfFamily_4_AutoML_6_20250401_12303,6047.911637994876,36577235.18099386,3319.2105013507235,,36577235.18099386
DRF_1_AutoML_6_20250401_12303,6057.134844844577,36688882.52863034,3212.704399138526,3.2488401852202,36688882.52863034
GBM_grid_1_AutoML_6_20250401_12303_model_17,6067.869581489735,36819041.25796841,3284.7362886947576,3.335126581647752,36819041.25796841
StackedEnsemble_BestOfFamily_6_AutoML_6_20250401_12303,6073.250933376891,36884376.89976328,3331.549698727321,3.2938454454295893,36884376.89976328
StackedEnsemble_Best1000_1_AutoML_6_20250401_12303,6087.931262349478,37062907.05509211,3318.069985822997,,37062907.05509211
DeepLearning_grid_2_AutoML_6_20250401_12303_model_3,6099.251792018848,37200872.42244512,3557.936293458472,3.4068988391532287,37200872.42244512
GBM_grid_1_AutoML_6_20250401_12303_model_3,6103.321732268252,37250536.16757794,3255.128189903511,3.292917805196963,37250536.16757794
StackedEnsemble_AllModels_5_AutoML_6_20250401_12303,6107.278275917335,37298847.939491816,3334.081410617548,3.214957456528664,37298847.939491816
XGBoost_grid_1_AutoML_6_20250401_12303_model_8,6107.8842168840665,37306249.60686149,3340.3940054779605,3.302622469590321,37306249.60686149
GBM_grid_1_AutoML_6_20250401_12303_model_44,6113.853521258758,37379204.87940811,3286.6636380040386,3.263298026157186,37379204.87940811
DeepLearning_grid_1_AutoML_6_20250401_12303_model_5,6114.630275221505,37388703.402655415,3075.937648072141,3.148750451830339,37388703.402655415
StackedEnsemble_AllModels_4_AutoML_6_20250401_12303,6117.380705246399,37422346.69292093,3325.882470997747,3.272908800876128,37422346.69292093
GBM_grid_1_AutoML_6_20250401_12303_model_1,6118.806960322442,37439798.61769036,3185.052701821191,3.203880513591771,37439798.61769036
GBM_5_AutoML_6_20250401_12303,6140.614927703381,37707151.6903336,3257.4257797653545,3.2440688467358925,37707151.6903336
StackedEnsemble_AllModels_3_AutoML_6_20250401_12303,6147.675764793652,37793917.30903121,3354.701361925377,,37793917.30903121
XGBoost_3_AutoML_6_20250401_12303,6170.278368217828,38072335.141296856,3227.542903357425,3.2104284178387195,38072335.141296856
DeepLearning_grid_3_AutoML_6_20250401_12303_model_3,6178.561297502975,38174619.70700165,3215.748959801632,3.2624198922106107,38174619.70700165
DeepLearning_1_AutoML_6_20250401_12303,6195.454316471049,38383654.18747976,3278.061008489467,,38383654.18747976
XGBoost_grid_1_AutoML_6_20250401_12303_model_4,6206.536693604716,38521097.72906176,3268.6902945404604,3.3020337330477023,38521097.72906176
StackedEnsemble_AllModels_6_AutoML_6_20250401_12303,6209.842249531294,38562140.76406389,3277.146307453946,,38562140.76406389
GBM_grid_1_AutoML_6_20250401_12303_model_9,6221.614945926259,38708492.535373,3330.3207109972823,3.32709123633672,38708492.535373
GBM_grid_1_AutoML_6_20250401_12303_model_4,6221.936552305791,38712494.46091887,3402.7254886544965,3.3549406290008386,38712494.46091887
GBM_4_AutoML_6_20250401_12303,6222.452054381391,38718909.56907519,3389.841749282899,3.346211768227045,38718909.56907519
GBM_grid_1_AutoML_6_20250401_12303_model_41,6225.535660378902,38757294.25864938,3382.808281077949,3.3535640534039888,38757294.25864938
