model_id,rmse,mse,mae,rmsle,mean_residual_deviance
XGBoost_3_AutoML_8_20250330_181005,6247.605736175997,39032577.43469922,3384.7204462891177,,39032577.43469922
XGBoost_grid_1_AutoML_8_20250330_181005_model_12,6250.949766182298,39074372.979334526,3359.359086393139,3.341651284094278,39074372.979334526
GBM_grid_1_AutoML_8_20250330_181005_model_3,6251.419688703971,39080248.12431565,3386.350168083649,3.3389112550591333,39080248.12431565
GLM_1_AutoML_8_20250330_181005,6252.976150019277,39099710.7327099,3423.216370412539,3.354781325305964,39099710.7327099
XRT_1_AutoML_8_20250330_181005,6254.836398431175,39122978.371139474,3413.8604358005687,3.342591046663905,39122978.371139474
GBM_5_AutoML_8_20250330_181005,6257.273396577697,39153470.35951899,3455.390798396328,3.3664372491572827,39153470.35951899
XGBoost_grid_1_AutoML_8_20250330_181005_model_13,6257.622078871998,39157834.08198631,3456.9226274785187,3.360620011790527,39157834.08198631
GBM_grid_1_AutoML_8_20250330_181005_model_1,6258.682926654909,39171111.97640166,3432.853967610468,3.3622689921303697,39171111.97640166
XGBoost_grid_1_AutoML_8_20250330_181005_model_11,6259.059622626299,39175827.35959087,3455.498841206197,3.372626889596824,39175827.35959087
DRF_1_AutoML_8_20250330_181005,6259.251158557318,39178225.06590114,3363.864770986222,3.318190422949334,39178225.06590114
XGBoost_grid_1_AutoML_8_20250330_181005_model_5,6259.458105983097,39180815.78055751,3446.959763120434,3.355509390722536,39180815.78055751
XGBoost_grid_1_AutoML_8_20250330_181005_model_2,6259.463605374862,39180884.62701246,3446.9749568280363,3.355514137447269,39180884.62701246
XGBoost_grid_1_AutoML_8_20250330_181005_model_1,6259.497454835804,39181308.38709591,3447.0499182859703,3.355554805750492,39181308.38709591
XGBoost_2_AutoML_8_20250330_181005,6259.646422892043,39183173.33962515,3364.8484017530723,3.341515272280541,39183173.33962515
XGBoost_1_AutoML_8_20250330_181005,6259.99213184699,39187501.49078622,3356.0991428942552,3.3399407327320043,39187501.49078622
GBM_grid_1_AutoML_8_20250330_181005_model_17,6260.191661006381,39189999.63253383,3452.253975798485,3.363635545097378,39189999.63253383
XGBoost_grid_1_AutoML_8_20250330_181005_model_4,6260.717216668671,39196580.06709152,3466.059873746655,3.383121561799552,39196580.06709152
XGBoost_grid_1_AutoML_8_20250330_181005_model_3,6261.017072689718,39200334.784512125,3447.638337927737,3.3710298808675407,39200334.784512125
XGBoost_grid_1_AutoML_8_20250330_181005_model_8,6261.298472480116,39203858.56148183,3503.270382692665,3.3877238196456902,39203858.56148183
XGBoost_grid_1_AutoML_8_20250330_181005_model_7,6261.467852077697,39205979.66260248,3449.054780798831,3.3720464367309724,39205979.66260248
GBM_grid_1_AutoML_8_20250330_181005_model_5,6261.73768128112,39209358.78917586,3448.7147364597645,3.3752124156081336,39209358.78917586
XGBoost_grid_1_AutoML_8_20250330_181005_model_10,6262.0175035250295,39212863.21445384,3450.622470530974,3.373083044065564,39212863.21445384
GBM_grid_1_AutoML_8_20250330_181005_model_10,6262.656697900474,39220868.91575766,3441.55148923912,3.3785927410838448,39220868.91575766
GBM_4_AutoML_8_20250330_181005,6262.656697900474,39220868.91575766,3441.55148923912,3.3785927410838448,39220868.91575766
GBM_grid_1_AutoML_8_20250330_181005_model_12,6262.656697900474,39220868.91575766,3441.55148923912,3.3785927410838448,39220868.91575766
GBM_2_AutoML_8_20250330_181005,6262.656697900474,39220868.91575766,3441.55148923912,3.3785927410838448,39220868.91575766
GBM_3_AutoML_8_20250330_181005,6262.656697900474,39220868.91575766,3441.55148923912,3.3785927410838448,39220868.91575766
GBM_grid_1_AutoML_8_20250330_181005_model_13,6262.656697900474,39220868.91575766,3441.55148923912,3.3785927410838448,39220868.91575766
GBM_grid_1_AutoML_8_20250330_181005_model_4,6262.656697900474,39220868.91575766,3441.55148923912,3.3785927410838448,39220868.91575766
GBM_grid_1_AutoML_8_20250330_181005_model_2,6262.656697900474,39220868.91575766,3441.55148923912,3.3785927410838448,39220868.91575766
GBM_grid_1_AutoML_8_20250330_181005_model_11,6262.656697900474,39220868.91575766,3441.55148923912,3.3785927410838448,39220868.91575766
GBM_grid_1_AutoML_8_20250330_181005_model_9,6262.656697900474,39220868.91575766,3441.55148923912,3.3785927410838448,39220868.91575766
GBM_grid_1_AutoML_8_20250330_181005_model_15,6262.656697900474,39220868.91575766,3441.55148923912,3.3785927410838448,39220868.91575766
GBM_grid_1_AutoML_8_20250330_181005_model_31,6262.656697900474,39220868.91575766,3441.55148923912,3.3785927410838448,39220868.91575766
StackedEnsemble_AllModels_3_AutoML_8_20250330_181005,6264.097197818903,39238913.70372263,3443.649395857225,3.368802000770612,39238913.70372263
XGBoost_grid_1_AutoML_8_20250330_181005_model_9,6264.402888379618,39242743.5479389,3511.894975065014,3.4078148180877026,39242743.5479389
GBM_grid_1_AutoML_8_20250330_181005_model_8,6265.1079181579535,39251577.22616548,3456.4133966395666,3.378883603841976,39251577.22616548
XGBoost_grid_1_AutoML_8_20250330_181005_model_6,6265.5820933066,39257518.96796432,3491.4897783574247,3.398980742637097,39257518.96796432
StackedEnsemble_BestOfFamily_6_AutoML_8_20250330_181005,6266.001700129553,39262777.30602645,3452.0067878906534,3.379915611854247,39262777.30602645
StackedEnsemble_AllModels_6_AutoML_8_20250330_181005,6276.954175085927,39400153.71612865,3526.501262779429,3.410670337434888,39400153.71612865
StackedEnsemble_AllModels_4_AutoML_8_20250330_181005,6281.039783568939,39451460.76277574,3463.349296524577,,39451460.76277574
StackedEnsemble_BestOfFamily_4_AutoML_8_20250330_181005,6295.344854576515,39631366.83804301,3520.490441574108,3.404799839022417,39631366.83804301
StackedEnsemble_AllModels_2_AutoML_8_20250330_181005,6303.07819318814,39728794.70944387,3503.5181170193387,3.391220356840668,39728794.70944387
StackedEnsemble_BestOfFamily_3_AutoML_8_20250330_181005,6317.854853476712,39915289.94959923,3506.3399389885885,3.3887794131766515,39915289.94959923
StackedEnsemble_Best1000_1_AutoML_8_20250330_181005,6323.461976870953,39986171.372932695,3429.0586628806977,,39986171.372932695
StackedEnsemble_BestOfFamily_2_AutoML_8_20250330_181005,6330.02169701762,40069174.68471383,3542.166880194685,3.4031221096259388,40069174.68471383
DeepLearning_1_AutoML_8_20250330_181005,6332.632866327544,40102239.0196918,3727.155508790333,,40102239.0196918
StackedEnsemble_BestOfFamily_1_AutoML_8_20250330_181005,6334.483794041318,40125684.93697209,3550.7303626924204,3.4041660342244344,40125684.93697209
StackedEnsemble_AllModels_1_AutoML_8_20250330_181005,6343.747446708087,40243131.66761536,3528.659031870574,3.397242453977757,40243131.66761536
XGBoost_grid_1_AutoML_8_20250330_181005_model_27,6367.488224675855,40544906.29138567,2972.395370921599,3.0796761879689702,40544906.29138567
DeepLearning_grid_3_AutoML_8_20250330_181005_model_1,6387.28871279041,40797457.100539766,3691.505645044357,,40797457.100539766
StackedEnsemble_BestOfFamily_5_AutoML_8_20250330_181005,6408.699566868686,41071430.13838288,3547.0369636713936,3.389603566623014,41071430.13838288
StackedEnsemble_AllModels_5_AutoML_8_20250330_181005,6541.538610051851,42791727.3867991,3596.8013703886586,3.3647195944946136,42791727.3867991
DeepLearning_grid_1_AutoML_8_20250330_181005_model_1,6582.926490556707,43334921.18007325,3727.9467345257167,,43334921.18007325
DeepLearning_grid_2_AutoML_8_20250330_181005_model_1,6609.328259378556,43683220.04021998,3960.542431891932,3.531735284359886,43683220.04021998
DeepLearning_grid_3_AutoML_8_20250330_181005_model_2,7283.670579972127,53051857.11755149,3871.156030303408,3.4288312361835187,53051857.11755149
DeepLearning_grid_1_AutoML_8_20250330_181005_model_3,11237.775238422932,126287592.30931155,4656.246271995079,,126287592.30931155
DeepLearning_grid_1_AutoML_8_20250330_181005_model_2,14033.746753542371,196946047.94256103,5026.123128853861,,196946047.94256103
DeepLearning_grid_2_AutoML_8_20250330_181005_model_2,14792.901396975702,218829931.74064565,4992.036583250625,,218829931.74064565
