model_id,rmse,mse,mae,rmsle,mean_residual_deviance
DeepLearning_grid_1_AutoML_7_20250401_13304_model_6,6235.34200201711,38879489.88211874,3395.469720069127,3.3269069358699666,38879489.88211874
XGBoost_grid_1_AutoML_7_20250401_13304_model_12,6250.949766182298,39074372.979334526,3359.359086393139,3.341651284094278,39074372.979334526
GBM_grid_1_AutoML_7_20250401_13304_model_3,6251.248060156122,39078102.30960567,3384.258005493707,3.335440795625125,39078102.30960567
GBM_grid_1_AutoML_7_20250401_13304_model_57,6252.886651442476,39098591.4757875,3438.567047248715,3.3648060123168366,39098591.4757875
XGBoost_3_AutoML_7_20250401_13304,6253.648985497943,39108125.63381945,3405.793367224612,3.353436365604064,39108125.63381945
XRT_1_AutoML_7_20250401_13304,6256.003770947939,39137583.18211483,3428.222049877923,3.3517763189784047,39137583.18211483
GBM_grid_1_AutoML_7_20250401_13304_model_68,6256.38535169948,39142357.66895983,3443.1671548188565,3.367528880478032,39142357.66895983
GBM_grid_1_AutoML_7_20250401_13304_model_54,6256.38535169948,39142357.66895983,3443.1671548188565,3.367528880478032,39142357.66895983
GBM_grid_1_AutoML_7_20250401_13304_model_64,6257.517231547072,39156521.90310853,3451.048851619208,3.3696919009088457,39156521.90310853
GBM_5_AutoML_7_20250401_13304,6258.19834795126,39165046.56229988,3464.069938279505,3.371145412940937,39165046.56229988
GBM_grid_1_AutoML_7_20250401_13304_model_67,6258.253932675636,39165742.28585006,3431.4960535892824,3.360517970910766,39165742.28585006
GBM_grid_1_AutoML_7_20250401_13304_model_1,6258.304019421687,39166369.19950964,3429.0915683259263,3.359851205556811,39166369.19950964
XGBoost_2_AutoML_7_20250401_13304,6258.667422117273,39170917.90067208,3365.35352085882,3.3415615800761804,39170917.90067208
XGBoost_grid_1_AutoML_7_20250401_13304_model_29,6259.005221244252,39175146.359562814,3440.3954659620567,3.368590856624374,39175146.359562814
XGBoost_grid_1_AutoML_7_20250401_13304_model_28,6259.009244076642,39175196.71743686,3479.5899213540765,3.39413037490836,39175196.71743686
XGBoost_grid_1_AutoML_7_20250401_13304_model_5,6259.364874013997,39179648.626040265,3446.747968062865,3.3553858576339888,39179648.626040265
XGBoost_grid_1_AutoML_7_20250401_13304_model_1,6259.366222884018,39179665.51218133,3446.7555544466845,3.355393291108189,39179665.51218133
XGBoost_grid_1_AutoML_7_20250401_13304_model_2,6259.366327887219,39179666.826688334,3446.75634110538,3.355394002119703,39179666.826688334
GBM_grid_1_AutoML_7_20250401_13304_model_17,6259.813483788693,39185264.851822734,3450.803286966339,3.363541084562085,39185264.851822734
XGBoost_1_AutoML_7_20250401_13304,6259.99213184699,39187501.49078622,3356.0991428942552,3.3399407327320043,39187501.49078622
GBM_grid_1_AutoML_7_20250401_13304_model_47,6260.10283971445,39188887.56380091,3492.57182274017,3.3856681297226983,39188887.56380091
XGBoost_grid_1_AutoML_7_20250401_13304_model_13,6260.214594985703,39190286.77527201,3462.4524062860223,3.3612095643129143,39190286.77527201
DRF_1_AutoML_7_20250401_13304,6260.240334163522,39190609.041487806,3385.288229586948,3.326985879940161,39190609.041487806
XGBoost_grid_1_AutoML_7_20250401_13304_model_4,6260.8475846136735,39198212.47776287,3468.424064420483,3.383922055904065,39198212.47776287
DeepLearning_grid_1_AutoML_7_20250401_13304_model_5,6260.929860906844,39199242.723194994,3236.8079257917525,,39199242.723194994
XGBoost_grid_1_AutoML_7_20250401_13304_model_27,6262.137266423924,39214363.14353529,3458.788397219032,3.3796334420272047,39214363.14353529
GLM_1_AutoML_7_20250401_13304,6262.653554670911,39220829.545832194,3441.548194995992,3.378591244275681,39220829.545832194
GBM_grid_1_AutoML_7_20250401_13304_model_4,6262.656697900474,39220868.91575766,3441.55148923912,3.3785927410838448,39220868.91575766
GBM_grid_1_AutoML_7_20250401_13304_model_42,6262.656697900474,39220868.91575766,3441.55148923912,3.3785927410838448,39220868.91575766
GBM_grid_1_AutoML_7_20250401_13304_model_9,6262.656697900474,39220868.91575766,3441.55148923912,3.3785927410838448,39220868.91575766
GBM_grid_1_AutoML_7_20250401_13304_model_35,6262.656697900474,39220868.91575766,3441.55148923912,3.3785927410838448,39220868.91575766
GBM_grid_1_AutoML_7_20250401_13304_model_39,6262.656697900474,39220868.91575766,3441.55148923912,3.3785927410838448,39220868.91575766
GBM_4_AutoML_7_20250401_13304,6262.656697900474,39220868.91575766,3441.55148923912,3.3785927410838448,39220868.91575766
GBM_grid_1_AutoML_7_20250401_13304_model_34,6262.656697900474,39220868.91575766,3441.55148923912,3.3785927410838448,39220868.91575766
GBM_2_AutoML_7_20250401_13304,6262.656697900474,39220868.91575766,3441.55148923912,3.3785927410838448,39220868.91575766
GBM_grid_1_AutoML_7_20250401_13304_model_10,6262.656697900474,39220868.91575766,3441.55148923912,3.3785927410838448,39220868.91575766
GBM_grid_1_AutoML_7_20250401_13304_model_5,6262.656697900474,39220868.91575766,3441.55148923912,3.3785927410838448,39220868.91575766
GBM_grid_1_AutoML_7_20250401_13304_model_38,6262.656697900474,39220868.91575766,3441.55148923912,3.3785927410838448,39220868.91575766
GBM_grid_1_AutoML_7_20250401_13304_model_58,6262.656697900474,39220868.91575766,3441.55148923912,3.3785927410838448,39220868.91575766
GBM_grid_1_AutoML_7_20250401_13304_model_69,6262.656697900474,39220868.91575766,3441.55148923912,3.3785927410838448,39220868.91575766
GBM_grid_1_AutoML_7_20250401_13304_model_61,6262.656697900474,39220868.91575766,3441.55148923912,3.3785927410838448,39220868.91575766
GBM_grid_1_AutoML_7_20250401_13304_model_36,6262.656697900474,39220868.91575766,3441.55148923912,3.3785927410838448,39220868.91575766
GBM_grid_1_AutoML_7_20250401_13304_model_12,6262.656697900474,39220868.91575766,3441.55148923912,3.3785927410838448,39220868.91575766
GBM_grid_1_AutoML_7_20250401_13304_model_32,6262.656697900474,39220868.91575766,3441.55148923912,3.3785927410838448,39220868.91575766
GBM_grid_1_AutoML_7_20250401_13304_model_43,6262.656697900474,39220868.91575766,3441.55148923912,3.3785927410838448,39220868.91575766
