model_id,rmse,mse,mae,rmsle,mean_residual_deviance
GBM_4_AutoML_5_20250330_174012,5986.241411828091,35835086.240685575,3329.6467974796537,,35835086.240685575
XGBoost_grid_1_AutoML_5_20250330_174012_model_22,6009.155248594484,36109946.80171064,2944.586852535712,,36109946.80171064
GBM_grid_1_AutoML_5_20250330_174012_model_13,6026.063579425234,36313442.26327527,3349.0111305753644,,36313442.26327527
XGBoost_grid_1_AutoML_5_20250330_174012_model_33,6050.005197751707,36602562.89282267,2978.0419302724304,,36602562.89282267
GBM_grid_1_AutoML_5_20250330_174012_model_10,6064.182465089546,36774308.96989953,3442.780256907769,3.270682150607109,36774308.96989953
GBM_grid_1_AutoML_5_20250330_174012_model_18,6072.918618788669,36880340.55043008,3387.937149911261,3.160233800269456,36880340.55043008
GBM_grid_1_AutoML_5_20250330_174012_model_11,6077.549575798006,36936608.84628252,3401.358832746099,,36936608.84628252
XGBoost_grid_1_AutoML_5_20250330_174012_model_20,6080.780345168313,36975889.60618527,2951.77049728004,,36975889.60618527
XGBoost_grid_1_AutoML_5_20250330_174012_model_4,6104.739654080025,37267846.2440971,2988.277465654377,,37267846.2440971
GBM_grid_1_AutoML_5_20250330_174012_model_4,6109.424640297502,37325069.43547427,3464.6901416446112,,37325069.43547427
GBM_grid_1_AutoML_5_20250330_174012_model_33,6109.597855956048,37327185.96150274,3419.2521192314784,,37327185.96150274
GBM_3_AutoML_5_20250330_174012,6112.037728242227,37357005.1914564,3434.2712797371687,,37357005.1914564
GBM_grid_1_AutoML_5_20250330_174012_model_2,6114.184433683651,37383251.28909947,3288.8011755369303,,37383251.28909947
GBM_grid_1_AutoML_5_20250330_174012_model_35,6116.378294142159,37410083.43705335,3399.043365921625,3.194172434975324,37410083.43705335
GBM_grid_1_AutoML_5_20250330_174012_model_15,6118.727607298985,37438827.532322764,3449.192912944372,3.081106755025603,37438827.532322764
XGBoost_grid_1_AutoML_5_20250330_174012_model_6,6132.545365894898,37608112.664759,3339.7904619784226,,37608112.664759
StackedEnsemble_BestOfFamily_2_AutoML_5_20250330_174012,6136.557739222513,37657340.88681172,3393.700835571797,,37657340.88681172
StackedEnsemble_AllModels_2_AutoML_5_20250330_174012,6143.168759955557,37738522.4132939,3409.323128440364,3.2469311057047943,37738522.4132939
GBM_grid_1_AutoML_5_20250330_174012_model_39,6144.860395395316,37759309.27889788,3438.989651389324,,37759309.27889788
XGBoost_grid_1_AutoML_5_20250330_174012_model_28,6146.547273393342,37780043.38405912,3296.834162469102,,37780043.38405912
GBM_grid_1_AutoML_5_20250330_174012_model_34,6149.154095435348,37812096.089409314,3501.3224968855943,,37812096.089409314
GBM_2_AutoML_5_20250330_174012,6149.40644219562,37815199.59131699,3374.995117842044,,37815199.59131699
GBM_grid_1_AutoML_5_20250330_174012_model_9,6152.075032236128,37848027.202263154,3386.117244977005,,37848027.202263154
GBM_grid_1_AutoML_5_20250330_174012_model_17,6153.507996444166,37865660.66230229,3416.241425587506,,37865660.66230229
StackedEnsemble_BestOfFamily_3_AutoML_5_20250330_174012,6168.853027955335,38054747.6805137,3466.9816365249903,,38054747.6805137
XGBoost_grid_1_AutoML_5_20250330_174012_model_14,6181.5937699730575,38212101.53696972,2936.5395025922785,,38212101.53696972
XGBoost_grid_1_AutoML_5_20250330_174012_model_87,6181.677387136771,38213135.3186381,3555.4612459043306,,38213135.3186381
XGBoost_grid_1_AutoML_5_20250330_174012_model_34,6188.387893710644,38296144.72302446,3358.841718867528,,38296144.72302446
StackedEnsemble_BestOfFamily_4_AutoML_5_20250330_174012,6188.953952187877,38303151.02230194,3448.931470934707,,38303151.02230194
XGBoost_grid_1_AutoML_5_20250330_174012_model_42,6192.221314657335,38343604.809696615,3405.2437022376275,,38343604.809696615
StackedEnsemble_BestOfFamily_6_AutoML_5_20250330_174012,6198.249936726418,38418302.27812905,3447.788051372548,,38418302.27812905
DeepLearning_grid_1_AutoML_5_20250330_174012_model_2,6209.283343975499,38555199.64577156,3361.511743519031,,38555199.64577156
