model_id,rmse,mse,mae,rmsle,mean_residual_deviance
StackedEnsemble_BestOfFamily_3_AutoML_4_20250401_10305,5812.034095559413,33779740.32794512,3217.384617118133,,33779740.32794512
XGBoost_3_AutoML_4_20250401_10305,5829.74361451803,33985910.61101374,3168.411217997862,,33985910.61101374
StackedEnsemble_BestOfFamily_4_AutoML_4_20250401_10305,5845.1182501222775,34165407.35791252,3140.0729468593745,,34165407.35791252
StackedEnsemble_AllModels_2_AutoML_4_20250401_10305,5856.968159547342,34304076.02195138,3161.7177114537453,,34304076.02195138
GBM_grid_1_AutoML_4_20250401_10305_model_17,5868.5930733296245,34440384.66033245,3151.6630802761533,,34440384.66033245
GBM_grid_1_AutoML_4_20250401_10305_model_3,5895.619938605766,34758334.46048586,3320.440188621086,,34758334.46048586
StackedEnsemble_AllModels_4_AutoML_4_20250401_10305,5958.042096037255,35498265.618152,3141.402550706578,,35498265.618152
XGBoost_grid_1_AutoML_4_20250401_10305_model_13,5984.5864950983705,35815275.51731379,3190.0369369154528,,35815275.51731379
DeepLearning_grid_1_AutoML_4_20250401_10305_model_2,5999.800088283188,35997601.09936294,3137.8218342713803,,35997601.09936294
GBM_3_AutoML_4_20250401_10305,6018.701363306685,36224766.10066975,3415.725237837975,,36224766.10066975
StackedEnsemble_BestOfFamily_1_AutoML_4_20250401_10305,6063.434259452103,36765235.01869747,3371.3569997294358,3.1784962416956137,36765235.01869747
GBM_grid_1_AutoML_4_20250401_10305_model_41,6069.617116124916,36840251.93635654,3445.0036004613626,,36840251.93635654
StackedEnsemble_AllModels_6_AutoML_4_20250401_10305,6091.035273221168,37100710.699624464,3137.190223235323,3.149597603637305,37100710.699624464
GBM_grid_1_AutoML_4_20250401_10305_model_15,6093.287110158158,37128147.80681956,3489.40170810272,3.220386139832508,37128147.80681956
XGBoost_grid_1_AutoML_4_20250401_10305_model_15,6096.628247006137,37168875.98219312,3632.236099534908,,37168875.98219312
GBM_grid_1_AutoML_4_20250401_10305_model_32,6097.096013714069,37174579.80044799,3488.0513175844208,,37174579.80044799
GBM_grid_1_AutoML_4_20250401_10305_model_39,6098.4342450081695,37190900.24068836,3472.113038677911,,37190900.24068836
DeepLearning_1_AutoML_4_20250401_10305,6100.685495023285,37218363.5091875,3416.9645887432625,,37218363.5091875
StackedEnsemble_AllModels_3_AutoML_4_20250401_10305,6105.4347464736575,37276333.44344786,3259.960346536189,,37276333.44344786
StackedEnsemble_BestOfFamily_6_AutoML_4_20250401_10305,6105.618063941712,37278571.942731336,3298.928787008076,3.135457964733902,37278571.942731336
GBM_grid_1_AutoML_4_20250401_10305_model_38,6121.2730861155005,37469984.19480199,3428.7150732540144,,37469984.19480199
GBM_grid_1_AutoML_4_20250401_10305_model_5,6131.375232042065,37593762.23609889,3450.14899669933,,37593762.23609889
GBM_grid_1_AutoML_4_20250401_10305_model_31,6135.172412581149,37640340.5320968,3410.5767451399515,3.2471077563668542,37640340.5320968
XRT_1_AutoML_4_20250401_10305,6135.569319501975,37645210.87441393,3479.2047964615804,3.0429322149738134,37645210.87441393
XGBoost_1_AutoML_4_20250401_10305,6137.017004951643,37662977.71906564,3586.0720972909457,,37662977.71906564
XGBoost_grid_1_AutoML_4_20250401_10305_model_7,6137.657330492113,37670837.50654357,3558.28171077211,,37670837.50654357
DeepLearning_grid_1_AutoML_4_20250401_10305_model_3,6138.308111485003,37678826.47152258,2983.92302546208,,37678826.47152258
GBM_grid_1_AutoML_4_20250401_10305_model_13,6141.040698846218,37712380.86488565,3487.1043237854938,,37712380.86488565
XGBoost_grid_1_AutoML_4_20250401_10305_model_4,6149.983738444645,37822299.98313357,3189.369430264937,,37822299.98313357
GBM_grid_1_AutoML_4_20250401_10305_model_54,6150.826897114622,37832671.51826869,3291.952603623567,,37832671.51826869
GBM_grid_1_AutoML_4_20250401_10305_model_9,6151.14246934677,37836553.67820148,3500.307162320095,,37836553.67820148
GBM_2_AutoML_4_20250401_10305,6151.589221239066,37842049.946864665,3414.262162240865,,37842049.946864665
DRF_1_AutoML_4_20250401_10305,6158.367297917808,37925487.77606349,3370.3161467826976,3.0328095865515845,37925487.77606349
GBM_grid_1_AutoML_4_20250401_10305_model_8,6160.86685836566,37956280.44650836,3435.810000024256,,37956280.44650836
GBM_grid_1_AutoML_4_20250401_10305_model_10,6163.63610922475,37990410.086939216,3494.228233316098,3.311852119109295,37990410.086939216
GBM_grid_1_AutoML_4_20250401_10305_model_11,6164.9352377160685,38006426.48523328,3550.4965969955883,3.306581553179384,38006426.48523328
XGBoost_grid_1_AutoML_4_20250401_10305_model_14,6165.836801952298,38017543.468309335,3026.488460512353,,38017543.468309335
GBM_grid_1_AutoML_4_20250401_10305_model_4,6168.198507942501,38046672.8333841,3501.348791783345,3.2702930521689466,38046672.8333841
GBM_grid_1_AutoML_4_20250401_10305_model_34,6175.828278284938,38140854.9228639,3497.1723831075965,,38140854.9228639
GBM_grid_1_AutoML_4_20250401_10305_model_43,6176.466405170752,38148737.25420292,3532.8306619373325,,38148737.25420292
XGBoost_grid_1_AutoML_4_20250401_10305_model_11,6181.81125152019,38214790.34942162,3270.648285410979,,38214790.34942162
GBM_grid_1_AutoML_4_20250401_10305_model_42,6189.599307553488,38311139.588066615,3473.874518715342,3.328773086030048,38311139.588066615
XGBoost_grid_1_AutoML_4_20250401_10305_model_3,6192.006949222893,38340950.059224606,3535.683260156321,,38340950.059224606
GBM_grid_1_AutoML_4_20250401_10305_model_33,6195.649797318083,38386076.411007605,3469.869351256955,3.264899010290812,38386076.411007605
XGBoost_grid_1_AutoML_4_20250401_10305_model_16,6197.816527855853,38412929.71296318,3709.4692746384862,,38412929.71296318
GBM_grid_1_AutoML_4_20250401_10305_model_45,6201.996237232712,38464757.32664871,3413.582772895362,3.2821514712593323,38464757.32664871
GBM_grid_1_AutoML_4_20250401_10305_model_37,6206.629110741784,38522244.91830734,3455.983226182125,,38522244.91830734
GBM_grid_1_AutoML_4_20250401_10305_model_36,6210.320935655716,38568086.12384369,3501.876843400427,3.2954318400366014,38568086.12384369
DeepLearning_grid_1_AutoML_4_20250401_10305_model_1,6211.493222504055,38582648.053213805,3835.614879004112,,38582648.053213805
XGBoost_grid_1_AutoML_4_20250401_10305_model_6,6214.3559671698695,38618220.08669976,3366.186561368725,3.2984426083708493,38618220.08669976
GBM_grid_1_AutoML_4_20250401_10305_model_52,6221.0672505232415,38701677.7355328,3420.585823831077,3.351258292772165,38701677.7355328
GBM_grid_1_AutoML_4_20250401_10305_model_55,6222.103703871719,38714574.50173416,3381.7598157673374,3.3057103185236456,38714574.50173416
GBM_4_AutoML_4_20250401_10305,6225.033060811154,38751036.60819189,3512.8640001491094,,38751036.60819189
GBM_grid_1_AutoML_4_20250401_10305_model_49,6226.505892728007,38769375.6321766,3502.5615078746077,3.3718663580720696,38769375.6321766
GBM_grid_1_AutoML_4_20250401_10305_model_40,6227.582663507581,38782785.83082018,3461.996313582542,3.3633193120325418,38782785.83082018
GBM_grid_1_AutoML_4_20250401_10305_model_51,6228.138659055949,38789711.156427234,3401.3317279751263,,38789711.156427234
GBM_5_AutoML_4_20250401_10305,6230.1839176999965,38815191.64836768,3383.953316810036,,38815191.64836768
GBM_grid_1_AutoML_4_20250401_10305_model_2,6232.095595027406,38839015.50556,3444.9185753659663,,38839015.50556
GBM_grid_1_AutoML_4_20250401_10305_model_48,6235.63361913175,38883126.632046126,3540.765819745312,3.384182403783328,38883126.632046126
GBM_grid_1_AutoML_4_20250401_10305_model_12,6237.4583772580445,38905887.00802656,3491.0112221797203,3.3472791296835047,38905887.00802656
XGBoost_grid_1_AutoML_4_20250401_10305_model_8,6243.357582032212,38979513.89711911,3534.088187223353,,38979513.89711911
GBM_grid_1_AutoML_4_20250401_10305_model_35,6243.81854195034,38985269.984802864,3482.556208839633,3.36811716030701,38985269.984802864
StackedEnsemble_BestOfFamily_2_AutoML_4_20250401_10305,6248.196253360223,39039956.42050473,3429.6319574380427,3.1908141517940773,39039956.42050473
StackedEnsemble_Best1000_1_AutoML_4_20250401_10305,6254.311515837335,39116412.5371355,3318.0893192403523,,39116412.5371355
GLM_1_AutoML_4_20250401_10305,6262.657557946323,39220879.68810221,3441.5532403585385,3.3785937083283835,39220879.68810221
XGBoost_grid_1_AutoML_4_20250401_10305_model_10,6271.290565587316,39329085.35802447,3590.1300598720354,,39329085.35802447
DeepLearning_grid_1_AutoML_4_20250401_10305_model_6,6292.831396720549,39599726.98755189,3238.492897755325,,39599726.98755189
DeepLearning_grid_1_AutoML_4_20250401_10305_model_5,6313.638168437363,39862026.921949096,3033.7987147362032,,39862026.921949096
XGBoost_2_AutoML_4_20250401_10305,6315.426877749073,39884616.64819541,3535.229767489114,,39884616.64819541
