iter	Passed	Remaining
0	4	4216
1	5	2754
2	6	2134
3	7	1847
4	9	1835
5	10	1802
6	12	1809
7	14	1743
8	15	1730
9	16	1658
10	17	1613
11	18	1548
12	20	1536
13	21	1521
14	22	1493
15	23	1457
16	24	1439
17	25	1414
18	27	1406
19	28	1400
20	30	1427
21	33	1480
22	34	1467
23	35	1456
24	36	1438
25	38	1433
26	39	1428
27	41	1423
28	43	1444
29	45	1482
30	47	1472
31	48	1476
32	49	1461
33	52	1486
34	53	1485
35	55	1472
36	56	1464
37	57	1465
38	59	1467
39	61	1478
40	65	1523
41	66	1522
42	69	1549
43	71	1548
44	73	1552
45	74	1553
46	76	1550
47	78	1558
48	81	1577
49	84	1598
50	86	1611
51	90	1641
52	92	1646
53	94	1650
54	96	1655
55	101	1708
56	103	1720
57	105	1718
58	107	1720
59	109	1719
60	111	1722
61	113	1722
62	117	1746
63	120	1761
64	123	1770
65	125	1780
66	128	1783
67	130	1791
68	132	1790
69	134	1792
70	137	1794
71	138	1789
72	140	1789
73	142	1781
74	143	1775
75	147	1795
76	150	1800
77	152	1807
78	154	1806
79	156	1801
80	158	1796
81	159	1788
82	165	1826
83	170	1857
84	172	1861
85	174	1859
86	176	1857
87	179	1855
88	181	1857
89	184	1863
90	186	1862
91	188	1864
92	190	1857
93	192	1857
94	194	1856
95	196	1855
96	199	1854
97	201	1857
98	204	1864
99	206	1859
100	209	1866
101	212	1871
102	214	1866
103	216	1869
104	219	1867
105	221	1865
106	223	1862
107	224	1856
108	226	1854
109	229	1853
110	231	1855
111	234	1861
112	236	1852
113	240	1869
114	242	1866
115	244	1865
116	246	1861
117	248	1858
118	251	1860
119	253	1857
120	256	1862
121	259	1864
122	261	1863
123	263	1860
124	265	1861
125	268	1864
126	270	1861
127	273	1866
128	276	1864
129	278	1863
130	280	1862
131	283	1865
132	285	1862
133	287	1858
134	289	1855
135	291	1851
136	292	1844
137	294	1838
138	296	1834
139	298	1832
140	300	1831
141	302	1829
142	305	1832
143	307	1828
144	309	1824
145	311	1822
146	318	1848
147	322	1854
148	326	1864
149	328	1861
150	330	1856
151	332	1853
152	334	1852
153	337	1854
154	339	1849
155	341	1848
156	343	1845
157	346	1846
158	348	1842
159	350	1841
160	353	1840
161	355	1839
162	358	1839
163	360	1838
164	362	1836
165	365	1837
166	368	1837
167	372	1845
168	374	1843
169	376	1838
170	378	1834
171	380	1829
172	382	1826
173	386	1834
174	388	1833
175	390	1830
176	393	1828
177	395	1826
178	397	1822
179	398	1817
180	400	1814
181	402	1811
182	405	1809
183	409	1813
184	411	1811
185	412	1807
186	415	1805
187	417	1803
188	420	1802
189	422	1801
190	425	1801
191	427	1799
192	429	1795
193	431	1792
194	433	1788
195	435	1787
196	437	1784
197	440	1782
198	442	1782
199	444	1778
200	446	1774
201	448	1773
202	450	1769
203	453	1767
204	455	1765
205	456	1760
206	458	1758
207	461	1755
208	462	1751
209	464	1748
210	466	1744
211	470	1747
212	472	1745
213	475	1744
214	477	1742
215	479	1739
216	483	1743
217	485	1742
218	488	1741
219	490	1739
220	493	1738
221	494	1734
222	496	1730
223	498	1725
224	501	1727
225	504	1726
226	507	1729
227	510	1727
228	512	1725
229	514	1721
230	517	1723
231	520	1724
232	524	1726
233	526	1724
234	528	1719
235	530	1716
236	532	1713
237	534	1711
238	537	1711
239	541	1713
240	544	1716
241	547	1713
242	548	1708
243	551	1708
244	554	1708
245	557	1707
246	559	1706
247	561	1703
248	563	1699
249	565	1697
250	567	1694
251	570	1692
252	572	1691
253	574	1688
254	577	1687
255	579	1685
256	582	1682
257	584	1680
258	586	1678
259	590	1679
260	592	1678
261	594	1675
262	596	1672
263	598	1669
264	601	1667
265	605	1671
266	609	1672
267	611	1669
268	614	1668
269	616	1667
270	619	1665
271	622	1666
272	626	1667
273	628	1665
274	631	1665
275	633	1661
276	635	1658
277	637	1655
278	639	1652
279	641	1650
280	644	1649
281	647	1647
282	648	1643
283	650	1640
284	651	1635
285	652	1630
286	654	1625
287	655	1621
288	657	1618
289	660	1616
290	662	1614
291	665	1614
292	667	1611
293	669	1608
294	671	1605
295	673	1602
296	675	1599
297	677	1595
298	678	1591
299	680	1586
300	681	1582
301	683	1578
302	684	1574
303	686	1571
304	687	1567
305	689	1563
306	691	1560
307	692	1555
308	693	1551
309	694	1546
310	696	1542
311	697	1538
312	698	1534
313	700	1529
314	702	1527
315	703	1522
316	704	1518
317	706	1515
318	707	1511
319	709	1508
320	711	1504
321	714	1504
322	716	1500
323	718	1498
324	719	1494
325	720	1490
326	722	1486
327	723	1482
328	725	1479
329	726	1475
330	728	1471
331	730	1468
332	731	1464
333	732	1460
334	733	1456
335	735	1453
336	737	1451
337	739	1448
338	741	1446
339	743	1442
340	745	1440
341	747	1437
342	748	1434
343	750	1431
344	751	1427
345	753	1423
346	756	1423
347	758	1420
348	759	1417
349	761	1414
350	763	1411
351	765	1408
352	766	1404
353	767	1400
354	769	1397
355	770	1394
356	772	1390
357	774	1388
358	776	1387
359	778	1383
360	779	1379
361	780	1376
362	781	1372
363	783	1368
364	784	1364
365	785	1361
366	787	1358
367	790	1358
368	793	1357
369	795	1355
370	798	1353
371	800	1350
372	801	1347
373	803	1345
374	806	1344
375	809	1342
376	810	1339
377	813	1337
378	815	1335
379	816	1332
380	818	1329
381	820	1327
382	822	1324
383	824	1322
384	826	1320
385	828	1318
386	834	1322
387	837	1320
388	839	1318
389	841	1316
390	843	1314
391	845	1311
392	847	1308
393	848	1305
394	850	1302
395	852	1299
396	854	1297
397	855	1294
398	857	1292
399	860	1291
400	863	1289
401	865	1287
402	867	1285
403	869	1282
404	870	1279
405	872	1276
406	875	1275
407	877	1272
408	879	1270
409	881	1268
410	883	1265
411	885	1263
412	886	1260
413	888	1258
414	892	1257
415	894	1255
416	895	1252
417	898	1251
418	900	1248
419	901	1245
420	903	1242
421	904	1238
422	906	1236
423	907	1233
424	909	1231
425	911	1228
426	913	1226
427	915	1223
