iter	Passed	Remaining
0	56	56667
1	84	42287
2	138	46000
3	169	42108
4	207	41271
5	244	40542
6	275	39053
7	297	36844
8	331	36451
9	365	36182
10	390	35151
11	414	34166
12	453	34468
13	489	34454
14	517	33978
15	546	33625
16	579	33493
17	604	32963
18	634	32739
19	654	32094
20	698	32571
21	731	32530
22	765	32509
23	805	32775
24	851	33189
25	890	33346
26	931	33580
27	955	33176
28	991	33194
29	1038	33578
30	1073	33567
31	1107	33506
32	1148	33668
33	1185	33674
34	1218	33589
35	1236	33123
36	1266	32958
37	1296	32825
38	1322	32597
39	1363	32730
40	1383	32361
41	1411	32203
42	1446	32203
43	1479	32151
44	1508	32022
45	1545	32048
46	1567	31786
47	1595	31642
48	1631	31665
49	1659	31537
50	1681	31290
51	1695	30909
52	1722	30770
53	1749	30647
54	1776	30526
55	1816	30612
56	1833	30333
57	1859	30194
58	1882	30025
59	1902	29812
60	1926	29662
61	1946	29454
62	1983	29496
63	2001	29268
64	2022	29098
65	2045	28951
66	2080	28974
67	2104	28845
68	2135	28819
69	2160	28703
70	2182	28551
71	2223	28652
72	2243	28490
73	2283	28578
74	2314	28545
75	2367	28785
76	2396	28722
77	2431	28736
78	2472	28828
79	2493	28673
80	2530	28707
81	2558	28641
82	2579	28498
83	2600	28363
84	2627	28285
85	2658	28255
86	2687	28203
87	2712	28108
88	2725	27902
89	2753	27836
90	2783	27807
91	2805	27690
92	2841	27708
93	2856	27535
94	2883	27465
95	2909	27401
96	2931	27289
97	2957	27216
98	2986	27176
99	3018	27165
100	3055	27200
101	3094	27240
102	3131	27268
103	3151	27148
104	3185	27150
105	3221	27170
106	3237	27019
107	3263	26950
108	3281	26824
109	3305	26741
110	3323	26616
111	3341	26497
112	3364	26409
113	3391	26361
114	3434	26427
115	3458	26358
116	3498	26402
117	3518	26298
118	3556	26332
119	3579	26252
120	3611	26234
121	3631	26136
122	3647	26007
123	3671	25934
124	3692	25846
125	3719	25802
126	3734	25670
127	3752	25565
128	3784	25556
129	3796	25406
130	3810	25280
131	3828	25176
132	3845	25070
133	3861	24957
134	3887	24908
135	3906	24819
136	3925	24729
137	3943	24633
138	3964	24555
139	3979	24442
140	4000	24370
141	4022	24305
142	4037	24198
143	4057	24118
144	4074	24026
145	4091	23933
