Model,Accuracy,Precision,Recall,F1-Score
SMILES - CatBoost,0.8324786324786325,0.8416149068322981,0.8522012578616353,0.846875
Descriptors - Random Forest,0.8400735294117647,0.8385964912280702,0.8535714285714285,0.8460176991150442
Descriptors - CatBoost,0.8345588235294118,0.8166666666666667,0.875,0.8448275862068966
Blomap - CatBoost,0.8455882352941176,0.873015873015873,0.8088235294117647,0.8396946564885496
ProtBERT - CatBoost,0.8106617647058824,0.8050541516245487,0.8198529411764706,0.8123861566484517
ProtBERT - PCA + CatBoost,0.7977941176470589,0.7852112676056338,0.8198529411764706,0.802158273381295
Descriptors - SVM,0.7886029411764706,0.7854671280276817,0.8107142857142857,0.7978910369068541
Descriptors - Logistic Regression,0.7591911764705882,0.7577854671280276,0.7821428571428571,0.7697715289982425
Descriptors - Tuned Random Forest,0.7959558823529411,0.9518716577540108,0.6357142857142857,0.7623126338329764
Descriptors - Decision Tree,0.7481617647058824,0.7474048442906575,0.7714285714285715,0.7592267135325131
