seq_length,molecular_weight,nh3_tail,po3_pos,biotinylated,acylated_n_terminal,cyclic,amidated,stearyl_uptake,hexahistidine_tagged,aromaticity,instability_index,isoelectric_point,helix_fraction,turn_fraction,sheet_fraction,molar_extinction_coefficient_reduced,molar_extinction_coefficient_oxidized,gravy,is_cpp
26.0,3151.8361999999997,0,0,0,0,0,0,0,0,0.1923076923076923,10.653846153846153,11.608322334289554,0.5384615384615384,0.23076923076923078,0.23076923076923075,0.0,0.0,-1.4923076923076921,1
22.0,2785.1938999999998,0,0,0,0,0,0,0,0,0.13636363636363635,115.70045454545453,11.839377021789552,0.2272727272727273,0.18181818181818182,0.3181818181818182,1490.0,1490.0,-1.2727272727272727,1
10.0,1439.6794,0,0,0,0,0,0,0,0,0.0,328.0,11.999967765808105,0.30000000000000004,0.0,0.0,0.0,0.0,-3.71,1
10.0,1439.6794,0,0,0,0,0,0,0,0,0.0,328.0,11.999967765808105,0.30000000000000004,0.0,0.0,0.0,0.0,-3.71,1
10.0,1439.6794,0,0,0,0,0,0,0,0,0.0,328.0,11.999967765808105,0.30000000000000004,0.0,0.0,0.0,0.0,-3.71,1
10.0,1439.6794,0,0,0,0,0,0,0,0,0.0,328.0,11.999967765808105,0.30000000000000004,0.0,0.0,0.0,0.0,-3.71,1
12.0,1611.8579,0,0,0,0,0,0,0,0,0.0,227.2666666666667,11.999967765808105,0.5,0.0,0.0,0.0,0.0,-3.1833333333333336,1
12.0,1611.8579,0,0,0,0,0,0,0,0,0.0,227.2666666666667,11.999967765808105,0.5,0.0,0.0,0.0,0.0,-3.1833333333333336,1
12.0,1611.8579,0,0,0,0,0,0,0,0,0.0,227.2666666666667,11.999967765808105,0.5,0.0,0.0,0.0,0.0,-3.1833333333333336,1
11.0,1540.78,0,0,0,0,0,0,0,0,0.0,247.01818181818183,11.999967765808105,0.4545454545454546,0.0,0.0,0.0,0.0,-3.6363636363636362,1
7.0,971.1222999999999,0,0,0,0,0,0,0,0,0.0,300.62857142857143,11.999967765808105,0.4285714285714286,0.0,0.0,0.0,0.0,-3.3714285714285714,1
9.0,1283.4937,0,0,0,0,0,0,0,0,0.0,363.33333333333337,11.999967765808105,0.3333333333333333,0.0,0.0,0.0,0.0,-3.6222222222222222,1
10.0,1439.6794,0,0,0,0,0,0,0,0,0.0,385.28,11.999967765808105,0.30000000000000004,0.0,0.0,0.0,0.0,-3.71,1
11.0,1595.8651,0,0,0,0,0,0,0,0,0.0,403.2363636363636,11.999967765808105,0.2727272727272727,0.0,0.0,0.0,0.0,-3.7818181818181817,1
12.0,1752.0508,0,0,0,0,0,0,0,0,0.0,418.19999999999993,11.999967765808105,0.25,0.0,0.0,0.0,0.0,-3.841666666666667,1
3.0,346.3795,0,0,0,0,0,0,0,0,0.0,6.666666666666667,6.261804008483887,1.0,0.0,0.0,0.0,0.0,-1.8666666666666665,1
3.0,346.3795,0,0,0,0,0,0,0,0,0.0,6.666666666666667,6.261804008483887,1.0,0.0,0.0,0.0,0.0,-1.8666666666666665,1
17.0,2078.3658,0,0,0,0,0,0,0,0,0.0,113.97647058823529,11.824484825134277,0.23529411764705885,0.17647058823529413,0.23529411764705885,0.0,0.0,-1.1235294117647059,1
12.0,1208.5129,0,0,0,0,0,0,0,0,0.0,77.88333333333334,5.561547660827636,0.4166666666666667,0.25,0.4166666666666667,0.0,0.0,1.8583333333333334,1
18.0,1999.2907,0,0,0,0,0,0,0,0,0.0,76.78888888888888,11.999967765808105,0.49999999999999994,0.05555555555555555,0.05555555555555555,0.0,0.0,-1.0777777777777777,0
14.0,1115.1944999999998,0,0,0,0,0,0,0,0,0.0,3.9,4.599093055725096,0.7857142857142858,0.14285714285714288,0.14285714285714288,0.0,0.0,1.0714285714285714,0
32.0,3265.6271,0,0,0,0,0,0,0,0,0.09375,43.515625,4.0500284194946286,0.375,0.25,0.28125,4470.0,4595.0,0.4375,0
6.0,750.8426,0,0,0,0,0,0,0,0,0.5,8.333333333333334,5.57001667022705,0.5,0.0,0.5,11000.0,11000.0,1.0666666666666667,1
13.0,1520.8216,0,0,0,0,0,0,0,0,0.07692307692307693,86.65384615384616,11.999967765808105,0.46153846153846156,0.15384615384615385,0.23076923076923078,0.0,0.0,-1.2307692307692308,1
12.0,1192.4474,0,0,0,0,0,0,0,0,0.0,27.908333333333335,5.880357551574707,0.7500000000000001,0.25,0.33333333333333337,0.0,0.0,0.9833333333333333,1
23.0,2428.8478,0,0,0,0,0,0,0,0,0.043478260869565216,38.13478260869565,8.63278408050537,0.43478260869565216,0.2608695652173913,0.34782608695652173,1490.0,1490.0,0.29130434782608694,0
20.0,1988.2446999999997,0,0,0,0,0,0,0,0,0.0,67.20500000000001,5.4012048721313475,0.4,0.2,0.35,0.0,0.0,0.255,0
